Sample,Species,Run,Download Array Job#3189352,Exit status,Runnum
ANN0810,ANN_01,SRR8888939,1,0,8888939
ANN0810,ANN_01,SRR8888938,2,0,8888938
ANN0815,ANN_02,SRR8888985,3,0,8888985
ANN0830,ANN_03,SRR8888685,4,0,8888685
ANN0830,ANN_03,SRR8888686,5,0,8888686
ANN0835,ANN_04,SRR8888688,6,0,8888688
ANN0835,ANN_04,SRR8888689,7,0,8888689
ANN0849,ANN_05,SRR8889037,8,0,8889037
ANN0849,ANN_05,SRR8888633,9,0,8888633
ANN0854,ANN_06,SRR8888754,10,0,8888754
ANN0854,ANN_06,SRR8888583,11,0,8888583
ANN0867,ANN_07,SRR8888926,12,0,8888926
ANN0874,ANN_08,SRR8888874,13,0,8888874
ANN0874,ANN_08,SRR8888849,14,0,8888849
ANN0882,ANN_09,SRR8888673,15,0,8888673
ANN0882,ANN_09,SRR8888527,16,0,8888527
ANN0892,ANN_10,SRR8889005,17,0,8889005
ANN0908,ANN_11,SRR8888809,18,0,8888809
ANN0908,ANN_11,SRR8888808,19,0,8888808
ANN0908,ANN_11,SRR8888807,20,0,8888807
ANN0918,ANN_12,SRR8888587,21,0,8888587
ANN0918,ANN_12,SRR8888860,22,3,8888860
ANN0927,ANN_13,SRR8888944,23,0,8888944
ANN0931,ANN_14,SRR8888756,24,0,8888756
ANN0931,ANN_14,SRR8888782,25,0,8888782
ANN0946,ANN_15,SRR8888534,26,0,8888534
ANN0959,ANN_16,SRR8888692,27,0,8888692
ANN0959,ANN_16,SRR8888693,28,failed?,8888693
ANN0964,ANN_17,SRR8888850,29,0,8888850
ANN0972,ANN_18,SRR8888708,30,0,8888708
ANN0986,ANN_19,SRR8888599,31,failed?,8888599
ANN0986,ANN_19,SRR8888601,32,0,8888601
ANN0986,ANN_19,SRR8888602,33,3,8888602
ANN0986,ANN_19,SRR8888600,34,0,8888600
ANN0996,ANN_20,SRR8888951,35,0,8888951
ANN0996,ANN_20,SRR8888956,36,0,8888956
ANN1004,ANN_21,SRR8888645,37,0,8888645
ANN1011,ANN_22,SRR8888923,38,0,8888923
ANN1011,ANN_22,SRR8888654,39,0,8888654
ANN1011,ANN_22,SRR8888922,40,0,8888922
ANN1029,ANN_23,SRR8888605,41,0,8888605
ANN1029,ANN_23,SRR8888604,42,0,8888604
ANN1040,ANN_24,SRR8888827,43,0,8888827
ANN1046,ANN_25,SRR8888556,44,0,8888556
ANN1046,ANN_25,SRR8888555,45,0,8888555
ANN1053,ANN_26,SRR8888541,46,0,8888541
ANN1053,ANN_26,SRR8888540,47,0,8888540
ANN1062,ANN_27,SRR8888974,48,0,8888974
ANN1073,ANN_28,SRR8888814,49,0,8888814
ANN1083,ANN_29,SRR8888649,50,0,8888649
ANN1083,ANN_29,SRR8888646,51,0,8888646
ANN1095,ANN_30,SRR8888784,52,0,8888784
ANN1095,ANN_30,SRR8889024,53,0,8889024
ANN1095,ANN_30,SRR8888574,54,0,8888574
ANN1106,ANN_31,SRR8888679,55,3,8888679
ANN1106,ANN_31,SRR8888680,56,0,8888680
ANN1115,ANN_32,SRR8888520,57,0,8888520
ANN1115,ANN_32,SRR8888519,58,0,8888519
ANN1127,ANN_33,SRR8888510,59,0,8888510
ANN1127,ANN_33,SRR8888509,60,0,8888509
ANN1134,ANN_34,SRR8888803,61,0,8888803
ANN1134,ANN_34,SRR8888802,62,0,8888802
ANN1134,ANN_34,SRR8888764,63,0,8888764
ANN1143,ANN_35,SRR8888572,64,failed?,8888572
ANN1143,ANN_35,SRR8888571,65,0,8888571
ANN1152,ANN_36,SRR8888742,66,0,8888742
ANN1152,ANN_36,SRR8888516,67,3,8888516
ANN1169,ANN_37,SRR8888790,68,0,8888790
ANN1169,ANN_37,SRR8888757,69,0,8888757
ANN1174,ANN_38,SRR8888862,70,0,8888862
ANN1174,ANN_38,SRR8888863,71,0,8888863
ANN1187,ANN_39,SRR8888617,72,0,8888617
ANN1198,ANN_40,SRR8888888,73,3,8888888
ANN1198,ANN_40,SRR8888889,74,0,8888889
ANN1203,ANN_41,SRR8892328,75,0,8892328
ANN1203,ANN_41,SRR8892414,76,0,8892414
ANN1211,ANN_42,SRR8892314,77,0,8892314
ANN1211,ANN_42,SRR8892315,78,0,8892315
ANN1229,ANN_43,SRR8892512,79,0,8892512
ANN1229,ANN_43,SRR8892513,80,0,8892513
ANN1234,ANN_44,SRR8892579,81,0,8892579
ANN1234,ANN_44,SRR8892431,82,0,8892431
ANN1243,ANN_45,SRR8892319,83,0,8892319
ANN1243,ANN_45,SRR8892318,84,0,8892318
ANN1260,ANN_46,SRR8892716,85,0,8892716
ANN1260,ANN_46,SRR8892683,86,0,8892683
ANN1268,ANN_47,SRR8892404,87,0,8892404
ANN1273,ANN_48,SRR8892704,88,0,8892704
ANN1284,ANN_49,SRR8892374,89,0,8892374
ANN1296,ANN_50,SRR8892573,90,0,8892573
ANN1296,ANN_50,SRR8892572,91,0,8892572
ANN1310,ANN_51,SRR8892794,92,0,8892794
ANN1310,ANN_51,SRR8892795,93,0,8892795
ANN1316,ANN_52,SRR8892639,94,0,8892639
ANN1322,ANN_53,SRR8892730,95,0,8892730
ANN1337,ANN_54,SRR8892780,96,0,8892780
ANN1337,ANN_54,SRR8892781,97,0,8892781
ANN1337,ANN_54,SRR8892815,98,0,8892815
ANN1349,ANN_55,SRR8892408,99,0,8892408
ANN1357,ANN_56,SRR8892738,100,0,8892738
ANN1357,ANN_56,SRR8892737,101,0,8892737
ANN1364,ANN_57,SRR8892350,102,0,8892350
ANN1364,ANN_57,SRR8892351,103,0,8892351
ANN1373,ANN_58,SRR8892658,104,0,8892658
ANN1373,ANN_58,SRR8892309,105,0,8892309
ANN1373,ANN_58,SRR8892335,106,0,8892335
ANN1373,ANN_58,SRR8892276,107,0,8892276
ANN1381,ANN_59,SRR8892747,108,0,8892747
ANN1393,ANN_60,SRR8892545,109,0,8892545
ANN1393,ANN_60,SRR8892544,110,0,8892544
ANN1410,ANN_61,SRR8892297,111,0,8892297
HT237_MO1W-38,ANN_67,SRR5940190,112,0,5940190
HT237_MO1W-38,ANN_67,SRR5940113,113,0,5940113
HT269_IA1W-5,ANN_62,SRR5940222,114,0,5940222
HT269_IA1W-5,ANN_62,SRR5940346,115,0,5940346
HT311_SK1W-29R,ANN_71,SRR5940444,116,0,5940444
HT311_SK1W-29R,ANN_71,SRR5940135,117,0,5940135
Q076C_SD2W-23,ANN_70,SRR5940338,118,0,5940338
Q076C_SD2W-23,ANN_70,SRR5940269,119,0,5940269
Q084_KS2W-32,ANN_65,SRR5940535,120,0,5940535
Q084_KS2W-32,ANN_65,SRR5940259,121,0,5940259
Q086_MB1W-40,ANN_66,SRR5940537,122,0,5940537
Q086_MB1W-40,ANN_66,SRR5940252,123,0,5940252
Q094_ND1W-38,ANN_68,SRR5940256,124,0,5940256
Q094_ND1W-38,ANN_68,SRR5940539,125,0,5940539
QPB3_IA2W-7,ANN_63,SRR5940504,126,0,5940504
QPB3_IA2W-7,ANN_63,SRR5940329,127,0,5940329
QPD2_KS1W-32,ANN_64,SRR5940182,128,0,5940182
QPD2_KS1W-32,ANN_64,SRR5940553,129,0,5940553
QPH4_SD1W-13,ANN_69,SRR5940328,130,0,5940328
QPH4_SD1W-13,ANN_69,SRR5940556,131,0,5940556
