# This file was produced by bcftools stats (1.10.2+htslib-1.10.2) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  /scratch/eld72413/SAM_seq/results2/VCF_results_new/Create_HC_Subset/New2/Filter2_122828/Sunflower_SAM_SNP_Calling_GenoFieldFiltered.vcf
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	/scratch/eld72413/SAM_seq/results2/VCF_results_new/Create_HC_Subset/New2/Filter2_122828/Sunflower_SAM_SNP_Calling_GenoFieldFiltered.vcf
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	288
SN	0	number of records:	63739304
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	63739304
SN	0	number of MNPs:	0
SN	0	number of indels:	0
SN	0	number of others:	0
SN	0	number of multiallelic sites:	3694929
SN	0	number of multiallelic SNP sites:	1467434
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	41225766	24089416	1.71	40065629	22635096	1.77
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	12564975	7658831	4906144	0	0	0	0
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	12585340	7667826	4917514	0	0	0	0
AF	0	0.003472	16073219	10092609	5980610	0	0	0	0
AF	0	0.006944	5893517	3747335	2146182	0	0	0	0
AF	0	0.010417	3364399	2143406	1220993	0	0	0	0
AF	0	0.013889	2372169	1513922	858247	0	0	0	0
AF	0	0.017361	1626852	1040295	586557	0	0	0	0
AF	0	0.020833	1266276	809895	456381	0	0	0	0
AF	0	0.024306	994351	637204	357147	0	0	0	0
AF	0	0.027778	856539	548763	307776	0	0	0	0
AF	0	0.031250	758721	486009	272712	0	0	0	0
AF	0	0.034722	667231	427471	239760	0	0	0	0
AF	0	0.038194	578804	371514	207290	0	0	0	0
AF	0	0.041667	560919	359060	201859	0	0	0	0
AF	0	0.045139	487512	312704	174808	0	0	0	0
AF	0	0.048611	453295	290280	163015	0	0	0	0
AF	0	0.052083	420580	269630	150950	0	0	0	0
AF	0	0.055556	416487	266515	149972	0	0	0	0
AF	0	0.059028	377989	241881	136108	0	0	0	0
AF	0	0.062500	373960	240044	133916	0	0	0	0
AF	0	0.065972	348737	223799	124938	0	0	0	0
AF	0	0.069444	329204	210948	118256	0	0	0	0
AF	0	0.072917	321365	206764	114601	0	0	0	0
AF	0	0.076389	293285	187953	105332	0	0	0	0
AF	0	0.079861	270953	174033	96920	0	0	0	0
AF	0	0.083333	274855	176826	98029	0	0	0	0
AF	0	0.086806	257775	165099	92676	0	0	0	0
AF	0	0.090278	239846	154144	85702	0	0	0	0
AF	0	0.093750	238812	153112	85700	0	0	0	0
AF	0	0.097222	220723	141028	79695	0	0	0	0
AF	0	0.100694	222080	141762	80318	0	0	0	0
AF	0	0.104167	210319	134769	75550	0	0	0	0
AF	0	0.107639	202517	129524	72993	0	0	0	0
AF	0	0.111111	204436	130800	73636	0	0	0	0
AF	0	0.114583	194983	124936	70047	0	0	0	0
AF	0	0.118056	195466	125031	70435	0	0	0	0
AF	0	0.121528	181385	116216	65169	0	0	0	0
AF	0	0.125000	197760	126430	71330	0	0	0	0
AF	0	0.128472	181588	116667	64921	0	0	0	0
AF	0	0.131944	176167	113115	63052	0	0	0	0
AF	0	0.135417	165220	106170	59050	0	0	0	0
AF	0	0.138889	155642	99909	55733	0	0	0	0
AF	0	0.142361	163688	104935	58753	0	0	0	0
AF	0	0.145833	159006	102093	56913	0	0	0	0
AF	0	0.149306	149209	95710	53499	0	0	0	0
AF	0	0.152778	148182	95028	53154	0	0	0	0
AF	0	0.156250	148929	95285	53644	0	0	0	0
AF	0	0.159722	149063	95819	53244	0	0	0	0
AF	0	0.163194	131692	84555	47137	0	0	0	0
AF	0	0.166667	152086	97627	54459	0	0	0	0
AF	0	0.170139	142765	91935	50830	0	0	0	0
AF	0	0.173611	140809	90212	50597	0	0	0	0
AF	0	0.177083	141610	90907	50703	0	0	0	0
AF	0	0.180556	140122	89935	50187	0	0	0	0
AF	0	0.184028	141543	90774	50769	0	0	0	0
AF	0	0.187500	145944	93693	52251	0	0	0	0
AF	0	0.190972	141078	90753	50325	0	0	0	0
AF	0	0.194444	135785	87503	48282	0	0	0	0
AF	0	0.197917	122818	78808	44010	0	0	0	0
AF	0	0.201389	121309	78400	42909	0	0	0	0
AF	0	0.204861	113824	73003	40821	0	0	0	0
AF	0	0.208333	110372	70956	39416	0	0	0	0
AF	0	0.211806	105073	67646	37427	0	0	0	0
AF	0	0.215278	102537	66136	36401	0	0	0	0
AF	0	0.218750	98347	63202	35145	0	0	0	0
