0%	0
1%	1
2%	3
3%	3
4%	4
5%	4
6%	5
7%	5
8%	5
9%	6
10%	6
11%	6
12%	6
13%	7
14%	7
15%	7
16%	7
17%	8
18%	8
19%	8
20%	8
21%	9
22%	9
23%	9
24%	9
25%	10
26%	10
27%	10
28%	10
29%	10
30%	11
31%	11
32%	11
33%	11
34%	11
35%	12
36%	12
37%	12
38%	12
39%	13
40%	13
41%	13
42%	13
43%	14
44%	14
45%	14
46%	14
47%	15
48%	15
49%	15
50%	15
51%	16
52%	16
53%	16
54%	17
55%	17
56%	17
57%	17
58%	18
59%	18
60%	18
61%	19
62%	19
63%	20
64%	20
65%	20
66%	21
67%	21
68%	21
69%	22
70%	22
71%	22
72%	23
73%	23
74%	24
75%	24
76%	25
77%	26
78%	26
79%	27
80%	27
81%	28
82%	29
83%	30
84%	30
85%	31
86%	32
87%	33
88%	34
89%	35
90%	36
91%	37
92%	38
93%	39
94%	41
95%	43
96%	45
97%	50
98%	57
99%	73
100%	4964
